NroReg,FECHA,CENTRO,Estrato,OFERTA_ID,FACTURA,GRUPO_CATEG,PLU_SAP,CANTIDAD,VENTA,DESCUENTO,GRUCOM,VENTA_NETA,OFERTA_ID_NUM,PROMO_FLAG,PRECIO_UNITARIO_NETO
2931,2026-01-01,1,4,251106,235,1,124,0.788,7425,825.0,1,6600.0,251106,1,8375.634517766497
2951,2026-01-01,1,4,0,96,1,236,0.504,8190,0.0,1,8190.0,0,0,16250.0
2962,2026-01-01,1,4,0,193,1,236,0.504,8190,0.0,1,8190.0,0,0,16250.0
2975,2026-01-01,1,4,0,38,1,237,0.456,31450,0.0,1,31450.0,0,0,68969.29824561403
2983,2026-01-01,1,4,0,238,1,219,0.984,3190,0.0,1,3190.0,0,0,3241.869918699187
2988,2026-01-01,1,4,0,239,1,240,0.56,9650,0.0,1,9650.0,0,0,17232.142857142855
3025,2026-01-01,1,4,0,203,1,241,0.478,11600,0.0,1,11600.0,0,0,24267.782426778245
3051,2026-01-01,1,4,0,61,1,242,0.843,21950,0.0,1,21950.0,0,0,26037.95966785291
3053,2026-01-01,1,4,0,243,1,85,0.454,4990,0.0,1,4990.0,0,0,10991.189427312775
3067,2026-01-01,1,4,0,6,1,244,0.535,8880,0.0,1,8880.0,0,0,16598.130841121496
3090,2026-01-01,1,4,0,245,1,246,0.959,19950,0.0,1,19950.0,0,0,20802.9197080292
3094,2026-01-01,1,4,0,247,1,248,8.32,25990,0.0,1,25990.0,0,0,3123.7980769230767
3131,2026-01-01,1,4,0,249,1,250,0.713,27490,0.0,1,27490.0,0,0,38555.39971949509
3157,2026-01-01,1,4,0,251,1,252,0.568,16990,0.0,1,16990.0,0,0,29911.97183098592
3193,2026-01-01,1,4,0,96,1,253,0.684,15300,0.0,1,15300.0,0,0,22368.421052631576
3198,2026-01-01,1,4,0,158,1,254,0.361,27700,0.0,1,27700.0,0,0,76731.30193905818
3213,2026-01-01,1,4,0,182,1,126,1.166,8390,0.0,1,8390.0,0,0,7195.540308747856
3232,2026-01-01,1,4,241825,105,1,181,0.455,22725,2525.0,1,20200.0,241825,1,44395.604395604394
3234,2026-01-01,1,4,0,158,1,255,0.608,19480,0.0,1,19480.0,0,0,32039.473684210527
3323,2026-01-01,1,4,0,256,1,118,2.428,10100,0.0,1,10100.0,0,0,4159.802306425041
3361,2026-01-01,1,4,0,212,1,183,0.275,13710,0.0,1,13710.0,0,0,49854.54545454545
3362,2026-01-01,1,4,0,257,1,258,1.15,17800,0.0,1,17800.0,0,0,15478.260869565218
3368,2026-01-01,1,4,0,259,1,260,0.528,11850,0.0,1,11850.0,0,0,22443.181818181816
3386,2026-01-01,1,4,0,261,1,262,0.231,23570,0.0,1,23570.0,0,0,102034.63203463203
3442,2026-01-01,1,4,0,263,1,264,0.938,23980,0.0,1,23980.0,0,0,25565.031982942433
3448,2026-01-01,1,4,0,265,1,266,0.277,29400,0.0,1,29400.0,0,0,106137.18411552346
3464,2026-01-01,1,4,0,67,1,267,0.451,2900,0.0,1,2900.0,0,0,6430.155210643015
3498,2026-01-01,1,4,0,268,1,39,0.212,8300,0.0,1,8300.0,0,0,39150.943396226416
3524,2026-01-01,1,4,0,269,1,49,0.54,9990,0.0,1,9990.0,0,0,18500.0
3550,2026-01-01,1,4,0,159,1,270,3.919,49990,0.0,1,49990.0,0,0,12755.805052309262
3564,2026-01-01,1,4,0,67,1,271,0.485,5200,0.0,1,5200.0,0,0,10721.649484536083
3601,2026-01-01,1,4,0,117,1,272,0.518,2490,0.0,1,2490.0,0,0,4806.949806949807
3604,2026-01-01,1,4,0,273,1,13,0.321,1200,0.0,1,1200.0,0,0,3738.3177570093458
3609,2026-01-01,1,4,0,274,1,241,0.478,11600,0.0,1,11600.0,0,0,24267.782426778245
3617,2026-01-01,1,4,0,6,1,275,0.321,13950,0.0,1,13950.0,0,0,43457.943925233645
3619,2026-01-01,1,4,0,69,1,276,1.067,22990,0.0,1,22990.0,0,0,21546.39175257732
3687,2026-01-01,1,4,0,176,1,277,0.72,33450,0.0,1,33450.0,0,0,46458.333333333336
3691,2026-01-01,1,4,0,74,1,62,0.421,25500,0.0,1,25500.0,0,0,60570.07125890737
3693,2026-01-01,1,4,0,278,1,118,2.428,10100,0.0,1,10100.0,0,0,4159.802306425041
3702,2026-01-01,1,4,0,279,1,280,0.158,3500,0.0,1,3500.0,0,0,22151.898734177215
3712,2026-01-01,1,4,0,110,1,281,0.64,25450,0.0,1,25450.0,0,0,39765.625
3725,2026-01-01,1,4,251106,235,1,282,0.976,12231,1359.0,1,10872.0,251106,1,11139.344262295082
3728,2026-01-01,1,4,0,283,1,284,0.746,4490,0.0,1,4490.0,0,0,6018.7667560321715
3739,2026-01-01,1,4,0,82,1,139,0.988,4900,0.0,1,4900.0,0,0,4959.514170040486
3742,2026-01-01,1,4,0,72,1,49,0.54,9990,0.0,1,9990.0,0,0,18500.0
3802,2026-01-01,1,4,0,164,1,285,0.488,19200,0.0,1,19200.0,0,0,39344.26229508197
3821,2026-01-01,1,4,0,286,1,287,0.328,13990,0.0,1,13990.0,0,0,42652.439024390245
3828,2026-01-01,1,4,251106,235,1,288,0.997,20565,2285.0,1,18280.0,251106,1,18335.005015045135
3863,2026-01-01,1,4,0,289,1,49,0.54,9990,0.0,1,9990.0,0,0,18500.0
3877,2026-01-01,1,4,251106,72,1,290,0.646,22770,2530.0,1,20240.0,251106,1,31331.2693498452
3884,2026-01-01,1,4,0,203,1,133,0.676,14900,0.0,1,14900.0,0,0,22041.420118343194
3922,2026-01-01,1,4,0,77,1,23,0.519,15650,0.0,1,15650.0,0,0,30154.142581888245
3931,2026-01-01,1,4,251106,291,1,292,0.128,22635,2515.0,1,20120.0,251106,1,157187.5
3932,2026-01-01,1,4,0,74,1,293,0.304,14990,0.0,1,14990.0,0,0,49309.210526315794
3935,2026-01-01,1,4,0,110,1,294,0.732,15600,0.0,1,15600.0,0,0,21311.475409836065
3959,2026-01-01,1,4,251106,72,1,295,0.775,22500,2500.0,1,20000.0,251106,1,25806.451612903224
3982,2026-01-01,1,4,0,119,1,296,1.073,26650,0.0,1,26650.0,0,0,24836.90587138863
4013,2026-01-01,1,4,0,297,1,90,0.468,10990,0.0,1,10990.0,0,0,23482.90598290598
4049,2026-01-01,1,4,0,38,1,298,1.414,33980,0.0,1,33980.0,0,0,24031.117397454032
4120,2026-01-01,1,4,0,46,1,299,0.736,27990,0.0,1,27990.0,0,0,38029.891304347824
4128,2026-01-01,1,4,0,67,1,272,0.518,2490,0.0,1,2490.0,0,0,4806.949806949807
4145,2026-01-01,1,4,251106,235,1,300,1.063,23985,2665.0,1,21320.0,251106,1,20056.444026340545
4155,2026-01-01,1,4,241825,105,1,133,0.676,13410,1490.0,1,11920.0,241825,1,17633.136094674555
4161,2026-01-01,1,4,0,127,1,139,0.988,4900,0.0,1,4900.0,0,0,4959.514170040486
4217,2026-01-01,1,4,0,96,1,157,0.485,5200,0.0,1,5200.0,0,0,10721.649484536083
4220,2026-01-01,1,4,0,301,1,302,0.176,39950,0.0,1,39950.0,0,0,226988.63636363638
4241,2026-01-01,1,4,0,212,1,303,0.459,8690,0.0,1,8690.0,0,0,18932.46187363834
4257,2026-01-01,1,4,0,65,1,304,0.828,32990,0.0,1,32990.0,0,0,39842.995169082125
4259,2026-01-01,1,4,0,305,1,306,0.564,17250,0.0,1,17250.0,0,0,30585.106382978727
4305,2026-01-01,1,4,0,193,1,177,0.418,5890,0.0,1,5890.0,0,0,14090.909090909092
4320,2026-01-01,1,4,0,96,1,307,0.705,22580,0.0,1,22580.0,0,0,32028.36879432624
4326,2026-01-01,1,4,0,10,1,168,0.277,21490,0.0,1,21490.0,0,0,77581.2274368231
4329,2026-01-01,1,4,0,2,1,308,1.594,77790,0.0,1,77790.0,0,0,48801.756587202006
4350,2026-01-01,1,4,241825,105,1,230,0.266,12060,1340.0,1,10720.0,241825,1,40300.751879699244
4355,2026-01-01,1,4,0,113,1,89,0.283,9990,0.0,1,9990.0,0,0,35300.35335689046
4366,2026-01-01,1,4,0,67,1,83,0.304,5600,0.0,1,5600.0,0,0,18421.052631578947
